round,stage,changed_target,sample_set,sample_eval_use_count,counted,excluded,metric,value,threshold,verdict,commit
0,探索,現行方式1度目,開発用,0,50,0,大きい誤りの件数,3,0,満たさない,
0,探索,現行方式1度目,開発用,0,41,0,正しい指定訳との一致率,0.9268292683,0.9,満たす,
0,探索,現行方式1度目,開発用,0,50,0,達成していない件数,3,0,満たさない,
0,探索,現行方式2度目,開発用,0,50,0,大きい誤りの件数,3,0,満たさない,
0,探索,現行方式2度目,開発用,0,41,0,正しい指定訳との一致率,0.9268292683,0.9,満たす,
0,探索,現行方式2度目,開発用,0,50,0,達成していない件数,3,0,満たさない,
p,探索,改稿段の追加,開発用,0,50,0,大きい誤りの件数,1,0,満たさない,
p,探索,改稿段の追加,開発用,0,41,0,正しい指定訳との一致率,0.9756097561,0.9,満たす,
p,探索,改稿段の追加,開発用,0,50,0,達成していない件数,1,0,満たさない,
